area,name,employer,url,salary_from,salary_to,currency
Санкт-Петербург,Game Designer (стажер),Lesta Games,https://hh.ru/vacancy/71546404,0,0,Currency not specified
Минск,QA Game Engineer (Мир Танков),Lesta Games,https://hh.ru/vacancy/84497318,0,0,Currency not specified
Минск,Support Specialist,Lesta Games,https://hh.ru/vacancy/84255588,0,0,Currency not specified
Санкт-Петербург,Junior Game Stores Manager,Lesta Games,https://hh.ru/vacancy/84437866,0,0,Currency not specified
Санкт-Петербург,Стажер-тестировщик в отдел контроля качества 3D-объектов кораблей и танков/Art QA Trainee,Lesta Games,https://hh.ru/vacancy/83205104,0,0,Currency not specified
Ташкент,Офис-менеджер,Lesta Games,https://hh.ru/vacancy/83747736,600,0,USD
Москва,Python Developer (Infrastructure),Lesta Games,https://hh.ru/vacancy/84644126,0,0,Currency not specified
Москва,Project Manager,Lesta Games,https://hh.ru/vacancy/82743920,0,0,Currency not specified
Минск,Motion Designer (Минск),Lesta Games,https://hh.ru/vacancy/84570467,0,0,Currency not specified
Санкт-Петербург,Project Manager / Менеджер проекта (Art Team),Lesta Games,https://hh.ru/vacancy/83577572,0,0,Currency not specified
Санкт-Петербург,Технический писатель (Tech writer),Lesta Games,https://hh.ru/vacancy/84296706,0,0,Currency not specified
Санкт-Петербург,Community Manager,Lesta Games,https://hh.ru/vacancy/79007676,0,0,Currency not specified
Санкт-Петербург,2D Artist (portraits) / 2D художник (портреты) Middle / Senior,Lesta Games,https://hh.ru/vacancy/83778673,0,0,Currency not specified
Минск,Tech Support Specialist,Lesta Games,https://hh.ru/vacancy/83110697,0,0,Currency not specified
Минск,Content graphic designer (Мир танков),Lesta Games,https://hh.ru/vacancy/84573507,0,0,Currency not specified
Санкт-Петербург,Аналитик информационной безопасности,Lesta Games,https://hh.ru/vacancy/84560361,0,0,Currency not specified
Минск,Технический писатель (Tech writer),Lesta Games,https://hh.ru/vacancy/84473277,0,0,Currency not specified
Санкт-Петербург,Copywriter,Lesta Games,https://hh.ru/vacancy/84203253,0,0,Currency not specified
Москва,Game QA Engineer,Lesta Games,https://hh.ru/vacancy/80441349,0,0,Currency not specified
Санкт-Петербург,Графический дизайнер (книга),Lesta Games,https://hh.ru/vacancy/81975418,0,0,Currency not specified
Москва,Генеральный директор (Юрист),RocketData,https://hh.ru/vacancy/83205585,0,0,Currency not specified
Минск,Специалист по кадрам (бухгалтер-экономист),RocketData,https://hh.ru/vacancy/84492607,0,0,Currency not specified
Минск,Key Account Manager,RocketData,https://hh.ru/vacancy/83770940,0,0,Currency not specified
Минск,Python developer (Platform team),RocketData,https://hh.ru/vacancy/83996084,0,0,Currency not specified
Минск,Руководитель бизнес-направления,RocketData,https://hh.ru/vacancy/83434615,0,0,Currency not specified
Москва,Head of Key Account Managers,RocketData,https://hh.ru/vacancy/84019414,0,0,Currency not specified
Минск,Менеджер по развитию бизнеса (Малый бизнес),RocketData,https://hh.ru/vacancy/84254186,0,0,Currency not specified
